-1127,-5519,-7898,-11770,"[1, 3, 5, 4]"
-705,-24439,-11541,-12936,"[1, 6, 3, 1]"
-1268,-24611,-9962,-14835,"[2, 2, 7, 1]"
-461,-10013,-12329,-88984,"[4, 9, 5, 7]"
-681,-16793,-18536,-3057,"[7, 2, 0, 1]"
-448,-17490,-5252,-3253,"[2, 4, 5, 7]"
-783,-32963,-29637,-7533,"[3, 6, 6, 7]"
-3011,-19210,-9952,-12214,"[8, 1, 6, 2]"
-177,-2443,-2346,-8117,"[8, 7, 3, 5]"
-548,-4062,-3532,-5972,"[4, 4, 3, 1]"
-861,-22743,-7096,-18214,"[8, 6, 1, 6]"
-447,-21590,-7619,-15209,"[4, 2, 2, 6]"
-1762,-11150,-7996,-18480,"[1, 1, 6, 0]"
-956,-23027,-4599,-18507,"[4, 0, 6, 3]"
-2784,-16929,-8052,-52012,"[5, 0, 1, 2]"
-657,-31016,-4431,-23059,"[7, 4, 7, 2]"
-783,-9936,-1287,-658,"[5, 7, 7, 1]"
-738,-5956,-9798,-11665,"[9, 4, 5, 2]"
-352,-35912,-5426,-16214,"[2, 8, 7, 4]"
-1770,-4544,-1910,-47078,"[0, 2, 3, 6]"
-2409,-18857,-2368,-1155,"[5, 9, 5, 7]"
-769,-34702,-8534,-44567,"[4, 9, 2, 3]"
-154,-12178,-4677,-1838,"[6, 2, 4, 5]"
-1491,-26886,-5479,-8387,"[8, 8, 2, 0]"
-35,-1353,-231,-5028,"[0, 9, 5, 7]"
-1353,-8119,-8716,-19503,"[8, 4, 6, 2]"
-721,-31660,-8430,-23975,"[7, 2, 4, 2]"
-763,-10498,-2664,-31545,"[7, 7, 1, 7]"
-601,-1765,-1769,-11122,"[3, 4, 3, 5]"
-49,-2405,-1634,-13775,"[1, 8, 5, 1]"
-96,-282,-720,-1216,"[5, 7, 5, 3]"
-868,-5393,-1425,-5884,"[8, 2, 1, 4]"
-1334,-1909,-3422,-4461,"[5, 6, 6, 7]"
-1519,-16545,-5210,-6213,"[6, 2, 2, 7]"
-648,-13179,-6042,-23368,"[8, 2, 5, 0]"
-444,-3121,-3295,-1626,"[4, 2, 5, 7]"
-656,-19044,-3592,-25411,"[3, 8, 3, 6]"
-33,-10316,-1981,-7498,"[5, 4, 3, 4]"
-595,-4508,-2190,-3884,"[2, 1, 7, 5]"
-731,-4807,-3935,-2723,"[6, 5, 5, 2]"
-490,-17295,-1143,-16367,"[7, 8, 1, 7]"
-1055,-2331,-511,-6443,"[2, 2, 1, 5]"
-978,-810,-904,-3280,"[0, 0, 4, 3]"
-623,-915,-1360,-2166,"[8, 2, 5, 1]"
-1932,-15539,-3836,-13771,"[2, 2, 6, 3]"
-217,-11449,-621,-6215,"[0, 6, 5, 6]"
-250,-1217,-1639,-11077,"[3, 6, 3, 7]"
-904,-3282,-2477,-6344,"[6, 3, 7, 3]"
-804,-2428,-1038,-12801,"[4, 3, 4, 7]"
-83,-784,-1511,-4605,"[6, 5, 3, 4]"
-1678,-2533,-4059,-10291,"[0, 8, 0, 3]"
-440,-6581,-593,-5321,"[2, 8, 5, 0]"
-158,-20459,-958,-30361,"[7, 5, 5, 0]"
-542,-7334,-1829,-4656,"[6, 1, 7, 3]"
-861,-6728,-2343,-9716,"[5, 0, 6, 5]"
-2046,-1585,-2105,-2669,"[7, 1, 7, 3]"
-1182,-12101,-1030,-11103,"[8, 1, 3, 0]"
-371,-16565,-1784,-11960,"[0, 2, 7, 0]"
-1262,-14543,-1331,-3480,"[4, 2, 6, 0]"
-1526,-4238,-2094,-8553,"[4, 1, 2, 3]"
-256,-4561,-699,-3576,"[3, 8, 7, 0]"
-1029,-4840,-3076,-10509,"[8, 8, 2, 1]"
-1617,-2591,-1448,-22127,"[6, 4, 0, 5]"
-612,-2964,-533,-1018,"[2, 0, 4, 0]"
-1081,-4017,-1713,-2999,"[1, 6, 0, 1]"
-1385,-4347,-1781,-21520,"[1, 5, 7, 0]"
-2834,-12434,-4994,-5228,"[1, 3, 2, 6]"
-796,-14451,-2114,-13497,"[8, 6, 2, 5]"
-142,-15074,-166,-1700,"[0, 5, 3, 6]"
-1234,-18610,-1060,-2498,"[9, 9, 2, 5]"
-556,-2360,-2650,-3608,"[9, 9, 1, 3]"
-378,-3279,-782,-538,"[9, 1, 5, 1]"
-662,-5582,-581,-1910,"[6, 3, 3, 0]"
-993,-5813,-280,-3634,"[9, 9, 6, 3]"
-1494,-4263,-820,-8009,"[5, 4, 1, 6]"
-857,-1321,-1245,-1495,"[4, 6, 1, 0]"
-979,-4114,-304,-2391,"[2, 4, 7, 6]"
-493,-4379,-1472,-2649,"[1, 9, 2, 3]"
-34,-2142,-70,-1805,"[8, 6, 3, 5]"
-756,-14003,-639,-1258,"[8, 8, 3, 4]"
-1325,-7291,-1602,-7109,"[9, 4, 0, 2]"
-1477,-2567,-775,-841,"[0, 1, 6, 7]"
-503,-10411,-470,-2108,"[4, 5, 5, 2]"
-476,-10305,-563,-3230,"[1, 8, 3, 7]"
-459,-3463,-179,-4438,"[5, 8, 7, 6]"
-288,-4141,-191,-5691,"[3, 6, 6, 1]"
-1438,-6310,-1904,-2417,"[2, 8, 0, 1]"
-1185,-1517,-774,-2006,"[4, 9, 6, 0]"
-285,-26050,-509,-6182,"[9, 8, 7, 2]"
-169,-5183,-164,-2532,"[0, 6, 6, 3]"
-1693,-12785,-1208,-8711,"[5, 0, 2, 7]"
-1472,-6337,-3906,-4204,"[3, 9, 7, 2]"
-32,-2131,-447,-706,"[4, 7, 5, 1]"
-170,-4002,-385,-3456,"[9, 6, 5, 3]"
-483,-1129,-620,-3621,"[4, 8, 3, 7]"
-1313,-343,-685,-5016,"[7, 1, 3, 6]"
-1182,-731,-450,-1945,"[7, 0, 3, 5]"
-562,-2797,-1430,-419,"[5, 8, 5, 0]"
-741,-3291,-1346,-3071,"[4, 3, 3, 6]"
-1168,-14359,-1709,-4865,"[5, 8, 4, 6]"
-762,-6397,-692,-11448,"[4, 6, 7, 2]"
-388,-2271,-1587,-1577,"[1, 8, 7, 3]"
-393,-170,-972,-620,"[2, 4, 5, 1]"
-1250,-2203,-421,-6090,"[3, 4, 2, 1]"
-55,-3187,-121,-615,"[6, 6, 3, 1]"
-118,-1198,-295,-2934,"[4, 8, 4, 0]"
-1076,-3317,-1465,-5042,"[9, 8, 2, 6]"
-219,-121,-556,-1637,"[1, 8, 5, 1]"
-512,-1805,-196,-1083,"[9, 8, 5, 6]"
-859,-4485,-497,-2857,"[6, 1, 5, 0]"
-487,-448,-362,-3790,"[9, 4, 4, 2]"
-89,-829,-231,-2767,"[7, 9, 5, 3]"
-618,-6220,-920,-1372,"[6, 2, 2, 7]"
-306,-3578,-1717,-2219,"[8, 9, 4, 2]"
-604,-3875,-2400,-2683,"[9, 7, 1, 3]"
-333,-444,-924,-4769,"[8, 8, 4, 5]"
-1822,-2901,-869,-12655,"[0, 9, 7, 4]"
-1326,-9408,-2061,-2282,"[7, 4, 7, 4]"
-229,-799,-714,-322,"[9, 9, 7, 0]"
-901,-5602,-591,-1061,"[0, 0, 2, 0]"
-337,-6536,-1574,-4444,"[9, 4, 6, 0]"
-1780,-10623,-1661,-3478,"[4, 0, 7, 2]"
-273,-1168,-791,-586,"[3, 5, 7, 6]"
-1525,-5730,-3075,-3949,"[9, 6, 6, 0]"
-198,-2750,-469,-2349,"[5, 4, 5, 2]"
-2339,-5404,-1588,-4773,"[4, 8, 2, 3]"
-486,-2888,-382,-911,"[7, 1, 1, 5]"
-476,-3125,-507,-2765,"[2, 7, 4, 6]"
-884,-4399,-846,-946,"[1, 6, 7, 0]"
-1925,-3456,-1104,-2285,"[0, 6, 6, 4]"
-239,-455,-1116,-1704,"[1, 5, 5, 6]"
-257,-1469,-883,-5670,"[0, 2, 5, 0]"
-1336,-2118,-1535,-7580,"[9, 9, 2, 4]"
-1454,-525,-785,-3051,"[8, 4, 6, 5]"
-486,-5116,-2349,-12536,"[6, 6, 2, 6]"
-761,-956,-436,-3991,"[5, 7, 4, 5]"
-595,-1459,-918,-4796,"[0, 8, 7, 0]"
-707,-3632,-375,-2210,"[2, 5, 6, 3]"
-326,-1800,-211,-1486,"[9, 1, 0, 3]"
-1157,-587,-888,-2392,"[3, 3, 0, 2]"
-238,-557,-517,-1491,"[2, 1, 0, 5]"
-1212,-1740,-801,-4601,"[2, 2, 5, 2]"
-294,-2687,-558,-3649,"[0, 9, 7, 1]"
-763,-2066,-1422,-2586,"[1, 0, 1, 7]"
-584,-2609,-947,-1772,"[6, 4, 0, 7]"
-65,-502,-78,-2645,"[9, 9, 7, 5]"
-218,-8995,-49,-1992,"[1, 6, 1, 0]"
-581,-2704,-427,-5006,"[1, 7, 6, 4]"
-93,-1331,-49,-1501,"[2, 4, 4, 6]"
-1339,-3871,-1233,-2217,"[1, 0, 7, 5]"
-2057,-1602,-1693,-2830,"[2, 3, 2, 7]"
-250,-1343,-1406,-1049,"[9, 1, 5, 6]"
-532,-1862,-104,-494,"[6, 1, 5, 6]"
-390,-841,-954,-1816,"[6, 1, 4, 3]"
-319,-4463,-436,-727,"[1, 9, 4, 5]"
-414,-4305,-1442,-4422,"[8, 6, 2, 7]"
-24,-1330,-559,-955,"[6, 4, 5, 1]"
-11,-81,-147,-601,"[5, 4, 4, 0]"
-1850,-4902,-1402,-3746,"[7, 8, 2, 4]"
-482,-3618,-1155,-5749,"[3, 6, 7, 0]"
-574,-8755,-1102,-3321,"[1, 9, 2, 7]"
-226,-2743,-91,-3386,"[6, 6, 5, 4]"
-403,-965,-476,-3533,"[0, 6, 6, 4]"
-75,-3357,-195,-1688,"[2, 4, 1, 6]"
-555,-3059,-1005,-5639,"[9, 2, 5, 2]"
-1508,-1666,-1028,-1356,"[1, 1, 7, 6]"
-783,-2790,-2049,-5609,"[6, 1, 6, 2]"
-163,-3836,-799,-642,"[8, 1, 3, 2]"
-512,-1651,-1253,-5875,"[0, 1, 5, 2]"
-628,-3661,-1081,-2045,"[1, 2, 1, 4]"
-475,-3376,-2300,-3871,"[8, 4, 0, 3]"
-450,-1201,-599,-591,"[4, 5, 3, 4]"
-101,-1514,-96,-476,"[1, 5, 4, 6]"
-486,-1968,-1325,-2332,"[2, 8, 4, 1]"
-678,-753,-1015,-3893,"[3, 8, 1, 7]"
-577,-2083,-228,-1472,"[0, 8, 7, 6]"
-110,-2907,-587,-2512,"[5, 8, 1, 7]"
-85,-385,-381,-1880,"[3, 4, 1, 7]"
-387,-1061,-195,-2390,"[8, 6, 4, 1]"
-146,-2124,-575,-2675,"[0, 6, 3, 2]"
-105,-2551,-1335,-989,"[2, 6, 5, 0]"
-155,-540,-352,-4214,"[8, 9, 7, 4]"
-1803,-3755,-670,-2779,"[4, 8, 2, 1]"
-758,-2718,-323,-3511,"[7, 5, 7, 5]"
-611,-1950,-278,-4775,"[6, 0, 3, 7]"
-1312,-1112,-790,-2494,"[4, 1, 3, 2]"
-510,-2297,-1283,-725,"[4, 7, 0, 1]"
-100,-1960,-186,-1342,"[3, 6, 1, 2]"
-1067,-6019,-915,-1628,"[0, 0, 3, 0]"
-565,-3874,-282,-3825,"[2, 2, 2, 4]"
-744,-1844,-1588,-3631,"[0, 6, 2, 3]"
-446,-3135,-1820,-3033,"[0, 1, 6, 2]"
-39,-260,-183,-110,"[8, 8, 5, 6]"
-203,-947,-661,-1103,"[3, 8, 1, 4]"
-272,-796,-1335,-6649,"[8, 6, 2, 7]"
-565,-2529,-611,-1166,"[5, 0, 5, 3]"
-180,-1914,-547,-3105,"[7, 5, 0, 3]"
-727,-7785,-191,-2087,"[3, 8, 4, 6]"
-13,-310,-54,-254,"[3, 3, 4, 5]"
-826,-6306,-1403,-4627,"[8, 5, 0, 6]"
-719,-3500,-1134,-234,"[9, 0, 3, 6]"
-1018,-2042,-801,-1448,"[9, 4, 1, 7]"
-296,-2252,-354,-3283,"[7, 7, 6, 3]"
-258,-2199,-621,-3569,"[6, 3, 2, 1]"
-183,-86,-29,-51,"[7, 9, 7, 6]"
