-4225,-14752,-13555,-22070,"[6, 0, 6, 0]"
-935,-15944,-36709,-23305,"[6, 3, 6, 1]"
-213,-12626,-10294,-19857,"[8, 9, 7, 1]"
-215,-48521,-17040,-6807,"[6, 6, 3, 7]"
-2760,-9694,-4601,-20568,"[4, 7, 0, 1]"
-1977,-27464,-10542,-20048,"[7, 4, 2, 3]"
-1799,-28105,-3581,-14948,"[5, 5, 7, 0]"
-2182,-15592,-10327,-34685,"[7, 3, 7, 0]"
-421,-11956,-10167,-17129,"[5, 7, 6, 0]"
-1729,-11644,-8264,-17424,"[5, 4, 2, 6]"
-437,-21857,-6250,-18579,"[4, 2, 7, 5]"
-2265,-8320,-5174,-32997,"[3, 1, 1, 7]"
-2189,-20770,-7591,-44849,"[7, 2, 1, 2]"
-1614,-9567,-3307,-53778,"[8, 8, 0, 5]"
-436,-4203,-591,-574,"[0, 9, 7, 5]"
-1262,-9091,-1684,-22388,"[9, 3, 7, 0]"
-930,-7895,-1925,-22391,"[6, 4, 2, 4]"
-1416,-49926,-8695,-48109,"[9, 2, 5, 6]"
-1058,-35059,-3579,-15303,"[6, 6, 1, 2]"
-1472,-10229,-1432,-32805,"[4, 1, 0, 7]"
-1535,-6952,-2096,-4373,"[2, 2, 6, 5]"
-1660,-22510,-2252,-17054,"[5, 4, 2, 7]"
-419,-1898,-619,-13655,"[3, 9, 5, 1]"
-761,-29925,-5507,-8464,"[6, 2, 6, 2]"
-88,-8681,-5531,-41473,"[2, 1, 3, 7]"
-1156,-8072,-4895,-2670,"[2, 2, 4, 6]"
-1223,-13752,-1683,-4710,"[5, 7, 5, 2]"
-790,-11282,-3162,-3544,"[5, 4, 6, 0]"
-963,-5160,-2031,-11661,"[5, 9, 4, 2]"
-443,-1956,-2068,-634,"[8, 5, 5, 7]"
-250,-7231,-862,-4069,"[3, 3, 3, 5]"
-505,-4663,-3814,-4756,"[4, 8, 3, 4]"
-286,-8179,-1195,-19651,"[6, 3, 2, 1]"
-2073,-4968,-3212,-2768,"[5, 4, 0, 7]"
-289,-4185,-752,-14266,"[5, 8, 6, 0]"
-185,-2732,-7183,-6080,"[5, 5, 3, 4]"
-1195,-13645,-2444,-15381,"[2, 0, 7, 0]"
-372,-11395,-1115,-15850,"[1, 8, 3, 1]"
-768,-9148,-363,-7837,"[3, 8, 7, 1]"
-557,-8276,-3652,-5230,"[7, 3, 7, 0]"
-1795,-5916,-2622,-6953,"[7, 4, 0, 6]"
-846,-10214,-3298,-14760,"[0, 5, 0, 3]"
-866,-7057,-351,-2432,"[8, 2, 4, 0]"
-704,-1469,-8015,-10658,"[3, 8, 0, 7]"
-2288,-11088,-6422,-33806,"[6, 9, 2, 3]"
-1028,-444,-3721,-23109,"[8, 5, 3, 2]"
-646,-8019,-2843,-7964,"[6, 1, 1, 2]"
-368,-9137,-5030,-1612,"[6, 2, 2, 0]"
-3591,-5030,-964,-2496,"[2, 2, 2, 1]"
-171,-4923,-1136,-7127,"[4, 0, 2, 1]"
-2307,-6124,-1766,-22482,"[0, 9, 2, 6]"
-604,-1671,-3499,-1094,"[6, 3, 5, 1]"
-615,-6021,-3280,-121,"[1, 5, 1, 3]"
-438,-1356,-1112,-11291,"[5, 4, 7, 3]"
-422,-6418,-684,-1871,"[0, 0, 4, 3]"
-1892,-7990,-695,-2102,"[8, 3, 2, 0]"
-935,-5823,-867,-2577,"[7, 8, 0, 1]"
-689,-13943,-380,-8,"[0, 4, 1, 3]"
-192,-4127,-451,-7772,"[4, 0, 2, 3]"
-930,-17046,-993,-3574,"[0, 0, 5, 2]"
-964,-1267,-629,-524,"[6, 0, 4, 7]"
-532,-3504,-2309,-1286,"[0, 2, 1, 3]"
-799,-741,-206,-21309,"[2, 3, 1, 0]"
-309,-15771,-1055,-3497,"[1, 6, 3, 2]"
-160,-5774,-3737,-4089,"[4, 5, 6, 0]"
-160,-7059,-223,-1280,"[7, 0, 4, 5]"
-1019,-1479,-1212,-1960,"[5, 2, 6, 5]"
-1231,-13324,-2326,-1385,"[4, 8, 3, 4]"
-843,-3671,-851,-272,"[3, 0, 1, 2]"
-585,-3519,-767,-9424,"[3, 8, 4, 2]"
-1036,-3598,-2116,-5773,"[9, 1, 5, 0]"
-1020,-1899,-883,-909,"[5, 0, 0, 4]"
-127,-16729,-2520,-9931,"[5, 9, 3, 6]"
-1384,-5078,-1468,-643,"[3, 8, 6, 2]"
-678,-10300,-3386,-2944,"[3, 7, 4, 6]"
-595,-1673,-720,-925,"[8, 4, 5, 1]"
-951,-2270,-2776,-8444,"[3, 8, 4, 5]"
-273,-3173,-1698,-2774,"[4, 6, 1, 2]"
-1038,-1760,-2623,-4883,"[8, 1, 7, 5]"
-430,-1344,-316,-1725,"[3, 3, 4, 6]"
-1251,-10418,-3975,-3868,"[0, 2, 6, 3]"
-1509,-7531,-433,-4553,"[4, 3, 6, 4]"
-833,-2560,-2253,-2848,"[6, 2, 3, 2]"
-581,-6326,-2681,-1792,"[1, 0, 6, 0]"
-216,-3159,-806,-12653,"[4, 1, 4, 6]"
-340,-19939,-553,-8853,"[7, 4, 1, 7]"
-1470,-10400,-216,-8221,"[6, 7, 6, 3]"
-1401,-5721,-1622,-6024,"[3, 7, 0, 2]"
-192,-2363,-1854,-1478,"[3, 6, 3, 0]"
-714,-2574,-112,-793,"[4, 0, 4, 5]"
-272,-5740,-933,-2393,"[5, 3, 5, 7]"
-679,-10949,-679,-3408,"[5, 8, 1, 7]"
-214,-1918,-1118,-402,"[3, 5, 1, 7]"
-1519,-2315,-2805,-2227,"[9, 1, 2, 5]"
-516,-6858,-1132,-2344,"[6, 1, 3, 7]"
-82,-1955,-1242,-146,"[3, 5, 4, 3]"
-555,-3625,-353,-4179,"[0, 6, 3, 7]"
-616,-2355,-455,-159,"[7, 1, 3, 4]"
-876,-484,-464,-3251,"[3, 6, 2, 0]"
-2714,-2049,-2323,-5256,"[7, 8, 2, 4]"
-916,-2466,-1466,-3529,"[7, 9, 0, 5]"
-788,-9176,-630,-13295,"[2, 8, 4, 7]"
-555,-6869,-2560,-12965,"[7, 0, 7, 2]"
-177,-3344,-391,-1583,"[2, 0, 2, 1]"
-79,-295,-586,-625,"[4, 8, 5, 1]"
-662,-2483,-555,-5653,"[4, 3, 0, 5]"
-349,-3822,-1182,-9734,"[4, 3, 5, 3]"
-166,-903,-1117,-958,"[3, 3, 0, 2]"
-842,-4425,-1167,-5485,"[9, 8, 2, 1]"
-651,-2564,-1522,-738,"[8, 4, 0, 2]"
-745,-1421,-1289,-2289,"[5, 0, 6, 5]"
-471,-2760,-1506,-3868,"[9, 9, 2, 1]"
-608,-1494,-768,-1623,"[0, 1, 5, 1]"
-866,-8220,-1714,-2327,"[2, 7, 0, 6]"
-1099,-5138,-304,-3307,"[1, 5, 6, 1]"
-1296,-188,-905,-2036,"[2, 2, 3, 7]"
-327,-2534,-405,-810,"[9, 9, 5, 0]"
-141,-2000,-503,-2081,"[0, 0, 3, 4]"
-454,-14108,-1209,-27330,"[6, 1, 5, 4]"
-287,-1577,-1958,-7117,"[2, 6, 3, 0]"
-1843,-5947,-714,-3941,"[2, 5, 6, 4]"
-391,-2992,-1005,-6131,"[1, 9, 4, 7]"
-248,-771,-1058,-521,"[3, 1, 4, 2]"
-410,-4379,-3736,-7025,"[0, 1, 5, 2]"
-130,-3290,-1204,-2487,"[7, 5, 5, 6]"
-791,-1774,-823,-277,"[2, 1, 5, 6]"
-158,-4813,-517,-2005,"[1, 8, 3, 1]"
-369,-3858,-675,-1400,"[6, 4, 1, 6]"
-657,-3523,-209,-1899,"[3, 2, 3, 2]"
-964,-4469,-1082,-2553,"[9, 0, 1, 4]"
-868,-2606,-919,-2901,"[8, 6, 0, 5]"
-259,-638,-640,-1736,"[6, 1, 5, 3]"
-2,-170,-37,-960,"[0, 4, 4, 1]"
-681,-4148,-2884,-5831,"[0, 6, 6, 2]"
-315,-4576,-959,-2392,"[5, 0, 0, 6]"
-708,-4072,-2114,-3252,"[4, 4, 7, 6]"
-337,-5368,-505,-21107,"[0, 9, 7, 2]"
-1353,-1820,-1409,-2206,"[2, 6, 7, 1]"
-1777,-10499,-1602,-2247,"[8, 4, 0, 3]"
-611,-1947,-1199,-2983,"[6, 5, 6, 3]"
-460,-4087,-176,-251,"[2, 1, 2, 1]"
-785,-3137,-864,-3676,"[3, 3, 3, 0]"
-621,-3170,-689,-1125,"[6, 5, 2, 0]"
-371,-6466,-748,-1167,"[2, 2, 3, 1]"
-237,-1518,-2422,-1499,"[9, 7, 6, 5]"
-1039,-1892,-841,-838,"[2, 9, 3, 0]"
-1871,-7394,-681,-3777,"[8, 6, 2, 5]"
-383,-736,-740,-1746,"[8, 3, 3, 4]"
-717,-3223,-2929,-772,"[9, 5, 7, 0]"
-1308,-2188,-1328,-2364,"[9, 2, 6, 2]"
-236,-1551,-599,-2075,"[8, 0, 5, 4]"
-105,-2241,-600,-448,"[3, 2, 4, 0]"
-231,-3546,-602,-1884,"[6, 9, 1, 0]"
-163,-4013,-809,-4062,"[0, 8, 7, 0]"
-294,-1413,-412,-1703,"[3, 8, 1, 4]"
-820,-7411,-725,-1237,"[8, 5, 0, 7]"
-369,-1151,-125,-1074,"[0, 3, 3, 5]"
-631,-2121,-957,-510,"[1, 1, 3, 7]"
-195,-1150,-636,-2454,"[8, 6, 0, 5]"
-53,-2316,-465,-2010,"[0, 6, 6, 5]"
-352,-2016,-345,-1570,"[9, 3, 2, 4]"
-743,-2922,-1135,-2053,"[8, 9, 0, 6]"
-290,-1286,-426,-1712,"[8, 2, 4, 0]"
-1364,-2073,-740,-1950,"[5, 7, 7, 3]"
-523,-2538,-449,-1292,"[9, 0, 5, 7]"
-770,-899,-756,-659,"[8, 6, 4, 3]"
-676,-2915,-534,-1191,"[6, 0, 1, 3]"
-92,-337,-260,-1368,"[6, 9, 5, 1]"
-210,-5599,-1179,-5431,"[8, 5, 7, 4]"
-1009,-426,-280,-730,"[6, 3, 3, 1]"
-357,-856,-355,-698,"[8, 2, 5, 6]"
-570,-1275,-207,-1148,"[6, 9, 4, 1]"
-11,-69,-51,-71,"[0, 8, 6, 7]"
-653,-3635,-169,-235,"[7, 9, 6, 5]"
-185,-581,-748,-686,"[7, 7, 1, 4]"
-181,-790,-95,-247,"[3, 5, 4, 0]"
-790,-2445,-671,-467,"[7, 6, 0, 2]"
-1534,-4497,-409,-1992,"[6, 7, 6, 3]"
-259,-2181,-246,-4330,"[4, 2, 0, 6]"
-584,-2368,-2488,-1709,"[8, 3, 7, 0]"
-253,-1440,-794,-2627,"[3, 4, 6, 4]"
-88,-1027,-103,-1516,"[2, 7, 5, 3]"
-86,-940,-258,-247,"[8, 3, 1, 4]"
-1102,-1129,-1800,-1979,"[8, 2, 7, 1]"
-433,-2082,-192,-2243,"[4, 0, 3, 4]"
-343,-782,-355,-2633,"[5, 0, 0, 3]"
-237,-2086,-411,-1524,"[7, 3, 3, 0]"
-1071,-1778,-276,-1743,"[0, 5, 3, 5]"
-137,-606,-271,-712,"[9, 9, 4, 0]"
-345,-3214,-502,-3358,"[1, 3, 6, 2]"
-208,-3459,-458,-5424,"[0, 9, 1, 7]"
-2494,-3210,-491,-2535,"[8, 0, 7, 2]"
-664,-596,-291,-3024,"[0, 5, 3, 0]"
-622,-4078,-2029,-534,"[5, 8, 0, 7]"
-580,-3763,-648,-545,"[1, 1, 3, 2]"
-439,-1473,-206,-759,"[7, 1, 5, 7]"
-1884,-3600,-1767,-1056,"[1, 0, 6, 7]"
-1469,-2651,-751,-2733,"[9, 8, 2, 3]"
-116,-1529,-351,-213,"[9, 0, 4, 3]"
-703,-3315,-744,-303,"[4, 1, 0, 6]"
-567,-269,-339,-781,"[5, 9, 1, 0]"
-86,-107,-633,-694,"[7, 0, 2, 3]"
-211,-2455,-316,-7473,"[0, 0, 2, 3]"
-531,-314,-247,-1178,"[4, 6, 4, 6]"
-248,-1109,-301,-206,"[1, 0, 4, 7]"
-147,-1574,-592,-679,"[2, 8, 4, 2]"
-764,-4435,-460,-2344,"[4, 9, 3, 6]"
-239,-2820,-186,-2246,"[7, 3, 2, 4]"
-606,-9396,-180,-2426,"[1, 2, 2, 6]"
-511,-8977,-864,-1570,"[5, 8, 6, 0]"
-60,-681,-373,-1976,"[1, 6, 5, 4]"
-273,-803,-701,-524,"[9, 3, 5, 6]"
-275,-3176,-957,-2581,"[6, 5, 7, 0]"
-192,-1298,-1409,-5112,"[5, 5, 7, 0]"
-387,-825,-548,-703,"[9, 2, 3, 7]"
-467,-1733,-532,-1481,"[6, 2, 2, 5]"
-234,-1305,-341,-426,"[6, 1, 5, 6]"
-5,-1,-44,12,"[0, 3, 1, 4]"
-198,-2393,-304,-595,"[0, 5, 7, 0]"
-638,-1010,-132,-1242,"[4, 2, 5, 7]"
-717,-4086,-900,-900,"[7, 9, 2, 3]"
-137,-1020,-231,-1658,"[0, 3, 3, 5]"
-566,-2731,-457,-1357,"[0, 7, 2, 0]"
-156,-288,-159,-676,"[2, 8, 5, 1]"
-403,-3092,-603,-700,"[5, 7, 6, 2]"
-178,-311,-235,-2582,"[2, 5, 4, 7]"
-459,-2319,-1516,-294,"[5, 2, 1, 5]"
-792,-3085,-336,-2340,"[8, 4, 2, 4]"
-1189,-3732,-996,-1508,"[8, 0, 7, 3]"
-618,-6313,-844,-3753,"[9, 8, 0, 4]"
-312,-2368,-1279,-4645,"[1, 1, 7, 4]"
-162,-1950,-211,-1528,"[6, 6, 4, 7]"
-216,-1242,-1169,-2893,"[3, 1, 6, 3]"
-1831,-3181,-488,-1011,"[9, 3, 7, 4]"
-174,-946,-193,-38,"[5, 5, 4, 6]"
-415,-2233,-977,-1931,"[4, 6, 0, 7]"
-515,-386,-901,-2262,"[9, 5, 0, 2]"
-204,-1788,-468,-1642,"[0, 9, 1, 0]"
-477,-882,-152,-930,"[6, 3, 2, 4]"
-456,-2842,-721,-1608,"[1, 2, 7, 3]"
-187,-296,-118,-557,"[1, 6, 4, 0]"
-1387,-2748,-992,-3006,"[9, 3, 7, 6]"
-945,-3693,-646,-2495,"[3, 6, 0, 6]"
-508,-7599,-1250,-3502,"[5, 8, 0, 6]"
-177,-1148,-647,-2542,"[9, 0, 6, 5]"
-1424,-2705,-1290,-3462,"[3, 8, 2, 6]"
-739,-286,-26,-949,"[0, 7, 5, 3]"
-302,-2414,-228,-1196,"[8, 5, 0, 2]"
-288,-1031,-239,-503,"[2, 6, 3, 5]"
-381,-902,-73,-185,"[0, 5, 1, 6]"
-1171,-2856,-689,-2709,"[7, 3, 6, 1]"
-677,-3898,-493,-2695,"[2, 2, 2, 6]"
-248,-3131,-204,-1905,"[1, 4, 0, 4]"
-52,-470,-92,-236,"[1, 0, 4, 5]"
-435,-422,-182,-1545,"[6, 1, 0, 4]"
-240,-337,-91,-1163,"[7, 3, 3, 0]"
-408,-823,-40,-263,"[0, 6, 3, 4]"
-805,-1866,-825,-670,"[8, 6, 6, 4]"
-333,-315,-146,-1209,"[0, 0, 2, 3]"
-1083,-2756,-557,-1663,"[1, 6, 7, 5]"
-165,-3014,-248,-396,"[1, 3, 7, 1]"
-303,-3925,-745,-1751,"[2, 3, 5, 2]"
-116,-1664,-45,-2045,"[6, 2, 0, 3]"
-548,-2652,-457,-1474,"[5, 1, 5, 0]"
-146,-2374,-542,-771,"[0, 5, 2, 3]"
-649,-3317,-1488,-1967,"[2, 7, 0, 7]"
-145,-981,-201,-1670,"[5, 1, 5, 2]"
-803,-3105,-1039,-1949,"[8, 2, 7, 1]"
-692,-2703,-522,-1239,"[7, 7, 7, 4]"
-102,-1971,-95,-2131,"[6, 7, 7, 5]"
-15,-142,-54,-33,"[0, 5, 1, 5]"
-357,-586,-295,-579,"[8, 2, 1, 3]"
-390,-518,-508,-971,"[2, 2, 3, 2]"
-463,-1502,-622,-1271,"[1, 9, 2, 4]"
-247,-1406,-297,-2354,"[4, 9, 7, 2]"
-467,-1278,-215,-1710,"[4, 8, 3, 4]"
-512,-1760,-443,-1329,"[0, 5, 2, 5]"
