-245,-4751,-4039,-42967,"[4, 8, 7, 3]"
-1463,-8423,-33046,-6107,"[0, 8, 1, 3]"
-1737,-22537,-28847,-32762,"[2, 4, 2, 7]"
-1219,-12258,-6185,-3228,"[9, 5, 6, 5]"
-1082,-22976,-14490,-13592,"[8, 3, 4, 2]"
-1218,-27750,-10122,-22770,"[0, 5, 1, 2]"
-1387,-7445,-5762,-13203,"[3, 7, 4, 6]"
-2335,-36211,-3216,-8928,"[7, 8, 5, 0]"
-694,-15741,-4125,-9141,"[8, 0, 7, 4]"
-251,-13576,-2088,-1200,"[6, 8, 5, 3]"
-749,-13655,-911,-50124,"[0, 2, 3, 2]"
-642,-58444,-8560,-47161,"[3, 4, 5, 0]"
-329,-7201,-1527,-29385,"[1, 3, 6, 3]"
-255,-8431,-2673,-16159,"[9, 5, 7, 5]"
-1865,-11321,-5535,-9367,"[1, 7, 1, 2]"
-1253,-1475,-3182,-5961,"[0, 7, 5, 0]"
-1059,-20755,-1765,-54452,"[9, 4, 7, 6]"
-276,-20767,-4973,-3424,"[3, 2, 5, 2]"
-1210,-8501,-6262,-7404,"[7, 4, 1, 4]"
-383,-9606,-912,-172,"[2, 4, 4, 3]"
-415,-4485,-1774,-9953,"[1, 3, 5, 1]"
-1853,-31977,-6608,-18351,"[3, 6, 2, 3]"
-422,-5083,-739,-9164,"[7, 1, 3, 5]"
-2012,-3574,-2141,-2267,"[0, 6, 7, 5]"
-1119,-5373,-6231,-13756,"[2, 0, 7, 1]"
-720,-27141,-4882,-11730,"[3, 6, 2, 5]"
-307,-7374,-2811,-4244,"[9, 5, 6, 5]"
-2994,-12428,-3199,-17436,"[6, 6, 2, 5]"
-108,-608,-1339,-8266,"[4, 1, 5, 3]"
-1748,-3892,-1554,-18805,"[5, 4, 7, 4]"
-411,-3297,-635,-8028,"[6, 3, 5, 4]"
-1677,-28388,-4906,-2901,"[6, 3, 3, 6]"
-693,-3371,-2578,-6139,"[4, 9, 1, 5]"
-740,-1215,-1158,-718,"[9, 7, 7, 5]"
-1927,-5771,-4475,-9668,"[2, 7, 0, 3]"
-1055,-22240,-3553,-36712,"[2, 8, 7, 1]"
