-548,-2746,-12693,-15314,"[3, 0, 1, 3]"
-307,-1910,-4581,-5101,"[3, 3, 5, 6]"
-882,-7723,-8318,-102733,"[3, 8, 0, 2]"
-1818,-21596,-7481,-23641,"[7, 8, 3, 0]"
-133,-47183,-7889,-34374,"[1, 9, 5, 7]"
-1496,-7557,-4288,-14386,"[4, 0, 0, 1]"
-3145,-60160,-23464,-7905,"[3, 3, 6, 2]"
-493,-4295,-10236,-4529,"[9, 3, 5, 3]"
-1359,-10436,-4269,-2605,"[6, 1, 5, 2]"
-1937,-14896,-14138,-12948,"[3, 8, 2, 1]"
-1469,-22068,-6134,-9461,"[4, 0, 1, 7]"
-1301,-44046,-7983,-15738,"[5, 1, 6, 0]"
-957,-4835,-2887,-8663,"[9, 7, 1, 4]"
-715,-7138,-2352,-32612,"[2, 7, 6, 1]"
-166,-48362,-9148,-57817,"[3, 9, 7, 6]"
-775,-19846,-3960,-34956,"[1, 1, 3, 2]"
-2248,-30568,-2448,-16588,"[5, 9, 0, 1]"
-196,-13063,-7208,-16788,"[8, 2, 2, 0]"
-445,-14303,-5326,-5590,"[1, 0, 3, 4]"
-2338,-18628,-8161,-4249,"[5, 4, 6, 2]"
-860,-4310,-9442,-12928,"[2, 3, 5, 0]"
-3815,-18599,-3935,-23564,"[6, 7, 2, 7]"
-355,-40508,-3251,-6452,"[3, 6, 7, 3]"
-659,-5745,-1215,-7848,"[1, 1, 5, 4]"
-3664,-23991,-4656,-27158,"[1, 1, 0, 6]"
-1361,-10643,-4962,-10411,"[4, 0, 6, 5]"
-1289,-11993,-2286,-9405,"[3, 8, 1, 6]"
-562,-11971,-4195,-1706,"[7, 5, 3, 2]"
-806,-1308,-3670,-8821,"[9, 7, 5, 3]"
-554,-4652,-3039,-11690,"[4, 0, 3, 6]"
-1366,-11322,-2986,-17114,"[9, 8, 6, 0]"
-481,-2616,-677,-1700,"[8, 9, 1, 4]"
-3076,-2424,-1782,-5912,"[8, 5, 2, 0]"
-934,-4343,-6120,-721,"[2, 3, 4, 6]"
-851,-1598,-1038,-21266,"[2, 6, 4, 0]"
-1413,-6262,-1977,-3342,"[5, 3, 3, 2]"
-1376,-3429,-4446,-8715,"[4, 9, 2, 0]"
-614,-8550,-3101,-6960,"[7, 1, 7, 1]"
-898,-2657,-4019,-8763,"[6, 9, 5, 2]"
-508,-2374,-1037,-1152,"[5, 8, 5, 6]"
-1008,-3786,-4084,-11260,"[6, 0, 1, 0]"
