-878,-732,-430,-415,"[3, 1, 0, 0, 0, 0, 1, 1]"
-533,-810,-912,-172,"[6, 4, 0, 0, 1, 1, 0, 0]"
-542,-1452,-471,-162,"[1, 0, 0, 0, 0, 0, 1, 1]"
-678,-541,-86,-281,"[3, 4, 0, 0, 0, 1, 1, 0]"
-832,-688,-330,-160,"[2, 0, 0, 0, 0, 1, 1, 0]"
-1278,-1092,-717,-201,"[1, 4, 0, 0, 0, 1, 1, 0]"
-453,-421,-119,-47,"[2, 0, 0, 0, 0, 0, 1, 1]"
-881,-644,-130,-197,"[2, 0, 0, 0, 1, 0, 0, 1]"
-1615,-558,-239,-213,"[6, 6, 0, 0, 1, 1, 0, 0]"
-1401,-1216,-137,-121,"[5, 3, 0, 0, 1, 0, 0, 1]"
-567,-450,-222,-80,"[2, 2, 0, 0, 0, 1, 1, 0]"
-718,-1003,-419,-199,"[1, 5, 0, 0, 1, 1, 0, 0]"
-534,-682,-89,-722,"[6, 4, 0, 0, 0, 0, 1, 1]"
-736,-1651,-260,-435,"[4, 3, 0, 0, 1, 1, 0, 0]"
-157,-456,-237,-16,"[2, 4, 0, 0, 0, 0, 1, 1]"
-646,-592,-321,-990,"[2, 4, 0, 0, 1, 0, 0, 1]"
-209,-270,-291,-416,"[2, 1, 0, 0, 0, 0, 1, 1]"
-622,-808,-232,-81,"[6, 3, 0, 0, 1, 1, 0, 0]"
-797,-471,-120,-279,"[4, 6, 0, 0, 1, 0, 0, 1]"
-500,-500,-232,-140,"[6, 5, 0, 0, 0, 1, 1, 0]"
-115,-322,-405,-132,"[5, 2, 0, 0, 0, 1, 1, 0]"
-992,-202,-97,-171,"[0, 0, 0, 0, 1, 0, 0, 1]"
-250,-652,-113,-479,"[6, 1, 0, 0, 0, 1, 1, 0]"
-934,-151,-155,-137,"[1, 4, 0, 0, 1, 0, 0, 1]"
-927,-1107,-196,-60,"[2, 0, 0, 0, 0, 0, 1, 1]"
-743,-760,-352,-758,"[3, 0, 0, 0, 1, 1, 0, 0]"
-297,-495,-221,-34,"[3, 1, 0, 0, 1, 1, 0, 0]"
-1239,-1073,-103,-108,"[1, 0, 0, 0, 1, 0, 0, 1]"
-494,-691,-125,-151,"[6, 0, 0, 0, 1, 1, 0, 0]"
-431,-263,-153,-104,"[5, 2, 0, 0, 0, 0, 1, 1]"
-1722,-500,-267,-231,"[3, 4, 0, 0, 1, 1, 0, 0]"
-449,-804,-542,-255,"[3, 6, 0, 0, 1, 1, 0, 0]"
-1219,-970,-163,-59,"[2, 6, 0, 0, 0, 1, 1, 0]"
-742,-75,-178,-183,"[0, 5, 0, 0, 1, 0, 0, 1]"
-340,-542,-50,-136,"[5, 3, 0, 0, 0, 0, 1, 1]"
-655,-297,-53,-45,"[5, 1, 0, 0, 0, 1, 1, 0]"
-761,-402,-159,-122,"[1, 4, 0, 0, 1, 1, 0, 0]"
-147,-272,-27,-262,"[3, 0, 0, 0, 0, 0, 1, 1]"
-500,-311,-144,-64,"[5, 2, 0, 0, 1, 1, 0, 0]"
-322,-1288,-98,-33,"[3, 2, 0, 0, 0, 0, 1, 1]"
-239,-133,-58,-38,"[3, 2, 0, 0, 0, 0, 1, 1]"
-71,-467,-102,-65,"[6, 5, 0, 0, 1, 1, 0, 0]"
-254,-639,-49,-99,"[3, 3, 0, 0, 1, 0, 0, 1]"
-655,-719,-42,-19,"[2, 3, 0, 0, 0, 0, 1, 1]"
-358,-570,-360,-86,"[1, 3, 0, 0, 0, 1, 1, 0]"
-381,-1370,-79,-102,"[5, 3, 0, 0, 1, 0, 0, 1]"
-273,-832,-79,-126,"[0, 4, 0, 0, 1, 1, 0, 0]"
-451,-160,-105,-268,"[0, 4, 0, 0, 1, 0, 0, 1]"
-631,-321,-134,-120,"[0, 5, 0, 0, 0, 0, 1, 1]"
-834,-95,-50,-49,"[6, 2, 0, 0, 0, 1, 1, 0]"
-309,-106,-42,-274,"[1, 3, 0, 0, 0, 0, 1, 1]"
-512,-158,-126,-39,"[6, 4, 0, 0, 0, 0, 1, 1]"
-270,-365,-123,-73,"[1, 1, 0, 0, 0, 1, 1, 0]"
-306,-606,-68,-53,"[5, 4, 0, 0, 0, 0, 1, 1]"
